"","family.ID","sample.ID","paternal.ID","maternal.ID","sex","affection"
"144","HG00334","HG00334",0,0,0,-9
"145","HG00335","HG00335",0,0,0,-9
"146","HG00336","HG00336",0,0,0,-9
"147","HG00337","HG00337",0,0,0,-9
"148","HG00338","HG00338",0,0,0,-9
"149","HG00339","HG00339",0,0,0,-9
"150","HG00341","HG00341",0,0,0,-9
"151","HG00342","HG00342",0,0,0,-9
"152","HG00343","HG00343",0,0,0,-9
"153","HG00344","HG00344",0,0,0,-9
"154","HG00345","HG00345",0,0,0,-9
"155","HG00346","HG00346",0,0,0,-9
"156","HG00349","HG00349",0,0,0,-9
"157","HG00350","HG00350",0,0,0,-9
"158","HG00351","HG00351",0,0,0,-9
"159","HG00353","HG00353",0,0,0,-9
"160","HG00355","HG00355",0,0,0,-9
"161","HG00356","HG00356",0,0,0,-9
"162","HG00357","HG00357",0,0,0,-9
"163","HG00358","HG00358",0,0,0,-9
"164","HG00359","HG00359",0,0,0,-9
"165","HG00360","HG00360",0,0,0,-9
"166","HG00361","HG00361",0,0,0,-9
"167","HG00362","HG00362",0,0,0,-9
"168","HG00364","HG00364",0,0,0,-9
"169","HG00366","HG00366",0,0,0,-9
"170","HG00367","HG00367",0,0,0,-9
"171","HG00369","HG00369",0,0,0,-9
"172","HG00372","HG00372",0,0,0,-9
"173","HG00373","HG00373",0,0,0,-9
"174","HG00375","HG00375",0,0,0,-9
"175","HG00376","HG00376",0,0,0,-9
"176","HG00377","HG00377",0,0,0,-9
"177","HG00378","HG00378",0,0,0,-9
"178","HG00381","HG00381",0,0,0,-9
"179","HG00382","HG00382",0,0,0,-9
"180","HG00383","HG00383",0,0,0,-9
"181","HG00384","HG00384",0,0,0,-9
"182","HG00403","HG00403",0,0,0,-9
"183","HG00404","HG00404",0,0,0,-9
"184","HG00406","HG00406",0,0,0,-9
"185","HG00407","HG00407",0,0,0,-9
"186","HG00418","HG00418",0,0,0,-9
"187","HG00419","HG00419",0,0,0,-9
"188","HG00421","HG00421",0,0,0,-9
"189","HG00422","HG00422",0,0,0,-9
"190","HG00427","HG00427",0,0,0,-9
"191","HG00428","HG00428",0,0,0,-9
"192","HG00436","HG00436",0,0,0,-9
"193","HG00437","HG00437",0,0,0,-9
"194","HG00442","HG00442",0,0,0,-9
"195","HG00443","HG00443",0,0,0,-9
"196","HG00445","HG00445",0,0,0,-9
"197","HG00446","HG00446",0,0,0,-9
"198","HG00448","HG00448",0,0,0,-9
"199","HG00449","HG00449",0,0,0,-9
"200","HG00451","HG00451",0,0,0,-9
"201","HG00452","HG00452",0,0,0,-9
"202","HG00457","HG00457",0,0,0,-9
"203","HG00458","HG00458",0,0,0,-9
"204","HG00463","HG00463",0,0,0,-9
"205","HG00464","HG00464",0,0,0,-9
"206","HG00472","HG00472",0,0,0,-9
"207","HG00473","HG00473",0,0,0,-9
"208","HG00475","HG00475",0,0,0,-9
"209","HG00476","HG00476",0,0,0,-9
"210","HG00478","HG00478",0,0,0,-9
"211","HG00479","HG00479",0,0,0,-9
"212","HG00500","HG00500",0,0,0,-9
"213","HG00501","HG00501",0,0,0,-9
"214","HG00512","HG00512",0,0,0,-9
"215","HG00513","HG00513",0,0,0,-9
"216","HG00524","HG00524",0,0,0,-9
"217","HG00525","HG00525",0,0,0,-9
"218","HG00530","HG00530",0,0,0,-9
"219","HG00531","HG00531",0,0,0,-9
"220","HG00533","HG00533",0,0,0,-9
"221","HG00534","HG00534",0,0,0,-9
"222","HG00536","HG00536",0,0,0,-9
"223","HG00537","HG00537",0,0,0,-9
"224","HG00542","HG00542",0,0,0,-9
"225","HG00543","HG00543",0,0,0,-9
"226","HG00553","HG00553",0,0,0,-9
"227","HG00554","HG00554",0,0,0,-9
"228","HG00556","HG00556",0,0,0,-9
"229","HG00557","HG00557",0,0,0,-9
"230","HG00559","HG00559",0,0,0,-9
"231","HG00560","HG00560",0,0,0,-9
"232","HG00565","HG00565",0,0,0,-9
"233","HG00566","HG00566",0,0,0,-9
"234","HG00577","HG00577",0,0,0,-9
"235","HG00578","HG00578",0,0,0,-9
"236","HG00580","HG00580",0,0,0,-9
"237","HG00581","HG00581",0,0,0,-9
"238","HG00583","HG00583",0,0,0,-9
"239","HG00584","HG00584",0,0,0,-9
"240","HG00589","HG00589",0,0,0,-9
"241","HG00590","HG00590",0,0,0,-9
"242","HG00592","HG00592",0,0,0,-9
"243","HG00593","HG00593",0,0,0,-9
"244","HG00595","HG00595",0,0,0,-9
"245","HG00596","HG00596",0,0,0,-9
"246","HG00607","HG00607",0,0,0,-9
"247","HG00608","HG00608",0,0,0,-9
"248","HG00610","HG00610",0,0,0,-9
"249","HG00611","HG00611",0,0,0,-9
"250","HG00613","HG00613",0,0,0,-9
"251","HG00614","HG00614",0,0,0,-9
"252","HG00619","HG00619",0,0,0,-9
"253","HG00620","HG00620",0,0,0,-9
"254","HG00625","HG00625",0,0,0,-9
"255","HG00626","HG00626",0,0,0,-9
"256","HG00628","HG00628",0,0,0,-9
"257","HG00629","HG00629",0,0,0,-9
"258","HG00634","HG00634",0,0,0,-9
"259","HG00635","HG00635",0,0,0,-9
"260","HG00637","HG00637",0,0,0,-9
"261","HG00638","HG00638",0,0,0,-9
"262","HG00640","HG00640",0,0,0,-9
"263","HG00641","HG00641",0,0,0,-9
"264","HG00650","HG00650",0,0,0,-9
"265","HG00651","HG00651",0,0,0,-9
"266","HG00653","HG00653",0,0,0,-9
"267","HG00654","HG00654",0,0,0,-9
"268","HG00656","HG00656",0,0,0,-9
"269","HG00657","HG00657",0,0,0,-9
"270","HG00662","HG00662",0,0,0,-9
"271","HG00663","HG00663",0,0,0,-9
"272","HG00671","HG00671",0,0,0,-9
"273","HG00672","HG00672",0,0,0,-9
"274","HG00683","HG00683",0,0,0,-9
"275","HG00684","HG00684",0,0,0,-9
"276","HG00689","HG00689",0,0,0,-9
"277","HG00690","HG00690",0,0,0,-9
"278","HG00692","HG00692",0,0,0,-9
"279","HG00693","HG00693",0,0,0,-9
"280","HG00698","HG00698",0,0,0,-9
"281","HG00699","HG00699",0,0,0,-9
"282","HG00701","HG00701",0,0,0,-9
"283","HG00702","HG00702",0,0,0,-9
"284","HG00704","HG00704",0,0,0,-9
"285","HG00705","HG00705",0,0,0,-9
"286","HG00707","HG00707",0,0,0,-9
"287","HG00708","HG00708",0,0,0,-9
"288","HG00731","HG00731",0,0,0,-9
"289","HG00732","HG00732",0,0,0,-9
"290","HG00734","HG00734",0,0,0,-9
"291","HG00736","HG00736",0,0,0,-9
"292","HG00737","HG00737",0,0,0,-9
"293","HG00740","HG00740",0,0,0,-9
"294","HG01047","HG01047",0,0,0,-9
"295","HG01048","HG01048",0,0,0,-9
"296","HG01051","HG01051",0,0,0,-9
"297","HG01052","HG01052",0,0,0,-9
